"","NS122pre","NS122post1","NS122post2","NS122post3","NS122post4","NS122post5","NS122post6","NS122post7","NS122post8","NS122post9","NS122post10","NS123pre","NS123post1","NS123post2","NS123post3","NS123post4","NS123post5","NS123post6","NS123post7","NS123post8","NS123post9","NS152pre","NS152post1","NS152post2","NS152post3","NS152post4","NS152post5","NS152post6","NS152post7","NS152post8","NS152post9","NS152post10","NS246pre","NS246post1","NS246post2","NS246post3","NS246post4","NS246post5","NS246post6","NS246post7","NS246post8","NS246post9","NS246post10","NS40pre","NS40post1","NS40post2","NS40post3","NS40post4","NS40post5","NS40post7","NS40post8","NS40post9","NS40post10","NS69pre","NS69post1","NS69post2","NS69post3","NS69post4","NS69post5","NS69post6","NS69post7","NS69post8","NS69post9","NS69post10"
"hsa-let-7a-5p",8.94742570560596,8.89749815620269,9.02551098735647,8.9593797298935,9.02747573208596,8.97000376449298,8.06172024465587,8.41907717354316,8.53997256498219,8.39713528906664,7.02323564971094,5.88469344601731,7.77864227354546,7.7265773038307,8.92935808178006,8.74121523191021,8.55363834922009,8.95377065566751,8.50513301403273,8.83822349978613,15.6507871778667,5.74172297462973,6.90550029402341,8.5485078119659,8.99401310666716,8.95733445844895,9.07457877216389,8.33002078558775,8.95991451556663,8.4468193410454,18.8945795931291,9.05406797018836,7.64265499036278,8.64034205098633,8.2649099555973,9.03177525481792,8.92492316154096,8.6503195863477,8.98813825289777,8.41685083288709,8.48505325048965,12.7145570621106,9.20087373419699,8.75426731244009,8.86844368818067,7.80509919904271,14.0767825267149,8.43369618265113,8.35588365625525,8.70347659257827,7.5197540670796,8.52481946986889,8.82638496510416,8.27333494040966,12.4783629293753,8.94911710081331,8.94008002432455,12.3391178006476,11.5565543921435,12.6704645500475,15.4416539246529,7.87705264439401,9.0277278002329,14.91861678696
"hsa-let-7b-5p",8.90439032411533,9.71837021326503,11.2928694752826,10.2649331742655,9.53953065894662,9.83225297781603,9.60304323487187,9.66503980934531,9.26475147908943,9.53969464616757,10.0118783149814,9.12263610997448,10.4809074398969,8.53100267581081,9.7318778413875,9.14079761609459,8.1741826734088,8.25636815399832,9.78863490745054,8.98614917891163,9.19845725622583,9.00784385580381,10.4975952202963,9.24017370032232,7.79579381569267,8.61009980055094,8.37361131484194,7.32466937323496,8.06117002344788,8.5963936575234,10.9728668080959,9.29260070888098,9.88842216319834,9.37092315752859,9.76196804909704,9.40148875883863,8.95829123686462,9.72133326975701,10.3831326225364,10.9422526795563,9.48031217591484,9.99197050543597,9.29407130884994,9.76711812067958,9.33419664830732,9.63580777044303,10.0176263743347,9.62086563649223,9.38099942072551,11.5442174074562,10.8892504523221,13.8686506239649,11.5238446792356,9.71448305301113,9.0775737736401,9.32972078408909,9.72528707618429,9.54453425108275,9.93398795282275,9.59247773797087,9.00321506574285,9.59458449922693,10.2552576628956,9.47204107774191
"hsa-let-7c-5p",9.31067457332903,4.33488607024772,5.37937799402159,4.74120375617597,6.13147779373643,7.62848812687278,6.45478336391412,6.73584661546727,3.74037723566057,5.82228606403273,7.38850603693972,12.4942538837821,5.74097420899513,5.62918997158843,7.98124302152439,6.12742867874233,6.45114311261161,8.22884970248947,5.32765121888784,3.56512446990961,7.75168249054586,11.6060738527139,6.97362554781174,5.36432210803225,7.23636686716716,4.88814873430844,5.38560284441264,4.48259730026335,5.64291453062487,6.21140473496182,11.2159460252407,6.53452046702904,10.4445670992134,6.21274458708067,3.74606999860313,3.66495308393425,4.74017737962096,5.02362371701795,7.40362536917748,4.4418569728723,2.72390418347991,4.86222132708362,4.44785525866769,10.5741156787203,5.74217973487614,6.93489514541707,6.93428676696298,4.37034561014657,6.34137395374183,8.26312557446795,6.80258419811991,7.98403488974692,8.09991679886562,10.7943864040106,5.04757676968046,6.75677110257862,6.59737682148943,6.3318276483405,3.26424350246351,5.3503381178089,7.10783580335594,7.02465824604873,6.68168511655283,6.62208700858243
"hsa-let-7d-5p",11.2645052920984,8.34260631704547,9.74790125670323,7.88624591365852,8.52158574607064,9.4298569058034,9.97006562823737,9.65392629393558,9.2330396742898,8.61459723419008,10.220243173298,11.4844518754497,8.52499495365874,9.72129092095967,9.63877767632404,9.13660723560949,7.90248976230198,9.93579769817066,9.4982033510118,8.862742218608,12.2929100536132,11.3537828535015,9.34249299622262,7.85516508672881,10.6813979974577,8.98228315089264,8.40793563100927,6.51716343759899,7.0262733178107,10.1447920311819,15.3900239547855,11.1349254258426,9.4183602069759,8.75062077744134,9.41285978310835,9.8082073402161,8.62141888903116,9.86539508266344,6.62866954633291,8.9563384314501,8.3373210291487,10.9116902442244,5.34511771885038,8.64954432184063,10.0611824396673,9.71323606013295,10.8975916250885,6.84720543659146,6.60256783354803,10.3232230113537,10.2403372412276,9.33215787330823,10.2311612079691,8.24433813543472,10.6228718364074,7.0819592170662,10.0177940348351,10.5271154615169,9.55978244296092,10.6343059792548,10.865788753363,10.3554602960152,7.13440188026688,11.7501750421286
"hsa-let-7e-5p",6.12696017545326,6.061384140035,6.0746594584992,6.04718406280933,6.06393493934552,5.98986471086251,6.17050537364865,6.11534868443499,6.03554819440854,6.0762306303106,8.77215805241424,5.04267584937734,4.66825610399807,6.13906733590984,6.03533260112624,5.9344837344101,5.9809549600517,6.05414135182317,8.85974666478456,6.9508440786967,5.69441113054442,7.05882280961302,7.11205156485113,5.80023683207716,6.00932305222116,6.06093561250163,6.26566501350151,5.67159427652389,7.95777974533391,5.69172698973904,0.911107143317057,6.03094793794325,7.36731660918196,7.9663020765555,6.61553416001175,6.1374976174506,6.00517509420493,5.92658922971136,6.07222819093083,6.12289215938338,5.92666420797073,6.11848314593625,6.17391014089978,6.09566419184307,6.06195835435399,5.59007614380739,7.60717703809539,6.61634159060486,7.75857820034379,6.07980767535551,5.35767699010938,6.17602576647207,6.20186192009043,5.92533234138178,7.74740394637445,6.0004786652156,5.96035468236105,7.91681783222675,7.48503824988856,5.90031974862878,5.942649353121,5.63853301553627,6.08755770247949,6.07021131233796
"hsa-let-7f-5p",5.9540334239968,5.91607306739272,5.92809686872537,5.96764799706912,5.91082080689161,5.86833690632708,5.92432435575717,5.74249541498554,5.87162580671894,5.8525911742392,4.89953273642989,4.39378859097216,5.95071978226491,8.08717164670732,5.89501088766092,5.45759723610102,5.80910565475551,5.91569283448938,5.93222165531083,5.92695368877332,6.28651532889179,4.16127392551444,5.29797448743437,5.65620902894921,5.91912363786113,5.90479027689046,7.26464159307305,5.62943199849718,5.88546670972126,7.48954639196677,9.07166138582855,6.0050642290115,5.76480241238874,6.0553735336383,5.85994732185824,5.96482801819977,5.87147779676037,7.25730961853279,6.68453641673815,5.91886001836748,7.99985039101901,5.95235053967844,6.00034228821942,5.91305635308124,5.90439704453316,5.52246254699582,6.33724257227367,6.05510334446394,6.47278557021778,5.76170382529387,5.0018635316786,5.86663103337844,6.00813844703849,5.84283020834774,5.89294489675627,6.16549580438888,6.64945126763748,6.25576620179329,5.90222941382613,5.83808631186544,7.03000757687419,5.16385158326248,5.93111208258742,8.83374159375373
"hsa-let-7g-5p",6.92138508464142,5.81717729253452,4.57155131079984,7.52032637378708,4.48823381113381,8.50711247357809,4.60387609683444,4.66110834104326,5.31843109081255,6.13021901426601,6.98500209105522,3.53794769979616,6.91988560144282,6.60717593841308,6.66624756535096,5.71998301624912,3.593120274542,6.63928741411024,6.88899063831772,7.06121406451112,8.88985761303602,3.08598689448781,3.19262415447959,4.67719359852838,7.84516009318505,5.249579546832,6.64509305905681,3.69494959116929,5.88949238249679,8.19085146183567,10.6743417015976,7.58135730176018,2.80812854278565,4.4249823356552,7.13152854309122,6.38738141649655,6.29342446379208,7.80374909303282,5.3730783884025,6.8874236524515,6.08664260627101,7.40171677917849,6.83247252738089,6.876409181744,5.99377842725096,5.42765448774116,8.27991112068318,6.43759786256394,6.33477822011976,7.5740968554999,7.01034539116039,7.55896437944534,7.73332870315836,7.63789872996808,7.49954886921061,3.96452214201589,6.65758459734836,8.52860544958449,7.0637297743141,7.80404446436833,8.11026840825398,6.53816429525488,8.6656989361711,9.11824152207481
"hsa-let-7i-5p",8.66434087690612,3.45798505355237,6.36394093326578,3.79423299307595,6.44608788057179,6.88183965253399,6.29723770932771,6.69887054236352,5.87359740029249,6.4971270479498,6.06889497794063,8.7692754365161,5.02990940629092,5.82785686913567,7.03653161828845,6.26106065471437,3.29286786559652,6.62243085457975,6.36674495130712,6.15210515847087,9.71267833013242,8.09949667224588,4.97272972054351,5.90717398766856,7.75147007018728,3.42323675806891,7.16944809943033,4.12284598249065,7.01748321379663,8.43095334870611,10.4604871315753,7.83767783339203,6.50206589224551,4.60242362429842,5.49069811392005,3.42040292083143,4.3078767288665,6.72155590484251,5.71435176267101,2.21544138392338,2.24344605328475,6.84962218416956,3.12841079425096,7.73307324455901,6.96013355464053,6.53374745859259,9.05005056404939,7.00369332831915,5.85738352753872,7.53493409489899,7.98677912012006,6.57836708660699,7.00577701731093,8.81174409889948,8.17062818836225,6.77966915589823,6.60280813444475,8.30322325878078,7.05267799385676,8.19019416019507,8.84372842074713,7.33667330184641,4.00768867464261,8.36512875618477
"hsa-miR-1-3p",6.18674808971776,8.98966575499061,6.23678218497499,7.94279226494228,6.30286756468242,6.2714027225784,7.03654207738761,6.1382584355149,6.33181887394949,6.14071601951824,5.60695403297215,3.29967439823036,5.40477851707831,7.16878064563256,7.59848496579412,6.23660453962791,6.07357925158167,6.14523242039069,6.11653194456208,6.42611204203664,8.97744202552554,3.12910099161586,4.47198253411219,7.32002942189597,6.13907711785325,6.28055087807031,6.58419632792926,6.16724764157594,6.23763899822283,6.09985309030348,9.39882794114263,8.59736709614289,5.52385152249588,5.84313443480084,6.09894498029547,6.29478585903425,5.98860277076008,6.23898929514303,7.95322559909307,5.95664402893276,6.15476432842379,6.23459589998382,6.1267769414057,6.14165662615656,6.13671480339657,5.59463200105107,6.04543055649087,8.41899122543741,7.20899927513568,6.14296164038591,6.46285549290624,6.03223989237454,5.97231024667934,5.90863584230857,5.77512956662255,6.27277263320199,7.99124019969492,5.84640720313155,6.2167798900912,8.16608213429447,7.2326896549849,5.85677091143619,6.25434815183495,6.28841827293069
"hsa-miR-1-5p",1.89254609747037,1.8808103258914,1.89289081452671,1.87749377604559,1.89241292188009,1.88589157924623,1.80863875713444,1.87908877656899,1.88465857966653,1.87769562486519,2.3093549832036,1.50359253276558,1.95870304777566,1.77249043911146,1.88802331747629,1.84044704420036,1.87760274094187,1.89160384798561,1.87369587234319,1.89204292451585,1.85684450851577,1.39313559637666,1.79209706998103,1.83514670238242,1.88602204490707,1.88964395880152,1.88825051798763,1.86277239426534,1.89231292455371,1.86183431671678,6.34837437860698,1.88614216730851,1.85828094339067,1.83727676376728,1.86239852613332,1.89075969410527,1.89088459394527,1.88367710274489,1.89426626959752,1.85189775726597,1.84015772604284,1.89317040122968,1.89202578413944,1.8891672838486,1.88216492873205,1.8224896932678,1.86960042085321,1.84837494428047,1.86502986587299,1.85845167567517,1.72408171210945,1.83681602672979,1.87359723219653,1.85794174143369,1.82433608688182,1.88222883947303,1.88628505072636,1.79686154544414,1.88278546670964,1.86554600135234,1.870803733459,1.77438870416065,1.89283124121197,1.89212173050697
